0;36;33;14;39;29;19;50;44;31;18;48;38;20;37;30;6;4;22;45;34;35;46;25;12;26;27;51;21;17;43;47;5;23;49;28;10;3;15;42;11;32;24;2;40;7;8;9;41;16;1;13;
0;3;45;29;17;30;20;16;2;33;15;8;12;32;7;48;39;38;34;47;4;5;23;41;1;6;10;27;42;21;28;49;19;22;36;31;35;44;40;43;37;25;26;13;11;24;14;50;51;9;18;46;
0;21;31;38;3;47;23;36;8;7;35;39;34;22;48;33;4;15;14;5;51;12;27;11;18;40;9;2;43;19;49;24;17;30;45;37;1;6;13;26;28;20;16;25;46;50;32;29;44;42;41;10;
0;34;31;22;17;39;46;2;21;3;38;48;23;37;12;15;35;47;29;41;49;33;44;18;9;32;5;43;14;4;16;7;40;42;25;20;30;19;36;45;26;27;11;10;13;1;6;50;24;8;51;28;
0;30;37;39;3;9;22;36;24;33;14;47;46;34;16;41;51;4;13;28;38;45;40;7;44;27;23;17;19;49;48;35;29;15;5;8;18;26;1;21;43;42;50;25;10;20;6;2;31;32;11;12;
0;31;28;19;10;22;48;24;3;18;44;33;45;6;41;9;42;40;1;30;35;47;4;23;26;49;12;16;37;43;15;11;27;25;20;14;38;5;36;21;8;50;7;2;46;29;39;34;17;13;32;51;
0;45;27;14;47;10;25;39;35;4;5;48;31;23;29;30;38;33;36;40;7;20;11;12;46;37;3;24;44;17;2;15;43;41;49;19;22;6;51;8;9;21;50;32;16;28;34;13;26;42;18;1;
0;21;27;25;31;35;34;15;43;4;5;49;39;28;18;24;29;37;46;41;17;51;16;40;50;11;45;14;44;2;7;9;23;30;38;3;42;20;19;8;10;33;36;47;6;1;22;48;12;26;13;32;
0;34;31;14;15;32;42;21;30;17;37;43;26;12;27;11;8;48;33;38;5;39;4;29;28;19;49;35;20;7;18;40;13;25;46;22;2;23;45;10;44;3;47;24;41;6;1;16;9;36;50;51;
0;40;44;26;12;46;23;36;39;31;9;8;15;45;20;13;10;50;21;35;4;22;49;37;33;34;30;17;29;28;16;2;18;7;19;43;48;47;14;5;42;1;24;11;3;41;6;32;51;25;27;38;
0;17;40;7;44;18;1;22;45;4;37;39;38;19;15;24;28;49;35;33;21;32;43;47;23;31;3;9;48;2;34;36;12;27;26;10;11;5;14;30;29;42;51;25;46;20;41;6;16;50;13;8;
0;34;35;3;19;49;45;37;14;4;5;23;15;33;50;26;11;12;36;44;38;22;40;39;31;29;43;48;21;18;10;30;32;46;25;24;8;6;41;1;2;42;28;47;27;13;51;17;9;16;20;7;
0;45;44;30;36;37;21;16;41;1;40;20;22;33;32;39;14;23;5;35;34;17;9;3;42;38;19;29;24;28;47;46;10;51;15;26;13;12;25;7;8;50;11;4;31;49;43;2;18;48;6;27;
